Produto,Preço (R$)
Smartphone Xiaomi Poco C85 256GB 8GB - Global e Desbloqueado - Black,"973,68"
Smartphone Xiaomi Poco X7 Pro 5G 8gb 256gb Ram Global Black (Preto),"2.200,00"
Smartphone Xiaomi Poco C85 256GB 8GB - Global e Desbloqueado - Purple,"973,68"
Smartphone Multilaser Multi G Max 2 4G 32GB 2GB RAM,"359,10"
Smartphone Samsung Galaxy S24 128GB 8GB RAM,"8.895,00"
Smartphone Xiaomi Pocophone Poco C75 4G 256GB 8GB RAM,"1.341,89"
Kit Smartphone Samsung Galaxy A25 5G 128GB + Galaxy Fit3,"1.529,10"
Smartphone Xiaomi Redmi Note 13 4G 128GB 6GB RAM,"1.377,49"
"Smartphone 13C 256GB 8GB RAM Dual SIM Tela 6.74"" - Verde","891,65"
Kit Smartphone Samsung Galaxy A25 5G 128GB + Galaxy Buds FE,"1.529,10"
Smartphone Xiaomi Redmi 15 8GB RAM 256GB ROM Versão Global Sandy Purple (Roxo),"1.177,89"
Smartphone Xiaomi Redmi 15 8GB RAM 256GB ROM Versão Global Midnight Black (Preto),"1.177,89"
Kit Smartphone Samsung Galaxy A55 5G 128GB + Galaxy Fit3,"2.272,17"
Smartphone RedmiA3X lançamento 128GB  8GB Ram Camera HDR Ai Premium De,"778,29"
"Smartphone 12 128GB 4GB RAM Dual SIM Tela 6.79"" - Preto","849,15"
"Smartphone Xiaomi Redmi 13 128GB 6GB RAM Dual SIM Tela 6.79"" (Sandy Go","881,99"
Smartphone Realme C67 RMX3890 DS Lte 6.72 8/256GB - Black Rock,"1.019,15"
"Smartphone 13 256GB 8GB RAM Dual SIM Tela 6.79"" - Dourado","951,15"
"Smartphone 13 256GB 8GB RAM Dual SIM Tela 6.79"" - Azul","934,15"
Celular Realme C63 128gb Dual Sim 6gb Ram Smartphone Original azul,"931,50"
"Smartphone 13 128GB 6GB RAM Dual SIM Tela 6.79"" - Preto","934,15"
Smartphone Tecno Spark GO1 128GB/8GB Ram Câmera dupla 13mp HDR 120Hz P,"1.804,91"
Smartphone Moto G14 128GB 4ram Gray - motorola,"899,00"
"Celular Realme 13+ 5g Dual Sim 256gb 8gb Com Nfc Smartphone, Roxo","2.299,00"
Smartphone Realme C67 4G 128GB 8GB RAM,"1.246,00"
Kit Smartphone Samsung Galaxy A15 4G 128GB + Fone de Ouvido Galaxy Buds FE,"1.888,20"
"Smartphone 13 256GB 8GB RAM Dual SIM Tela 6.79"" (Sandy Gold) Dourado","934,15"
"Smartphone Xiaomi Redmi 13 128GB 6GB RAM Dual SIM Tela 6.79"" (Midnight","968,15"
"Smartphone 14C 128GB - 4GB RAM - Dual Sim 6.88""  Midnight Black (Preto","789,65"
"Smartphone xiaomi 14C 256GB/4GB RAM - Dual Sim 6.88"" Polegadas  -preto","1.241,01"
"Smartphone 13C 256GB 8GB RAM Dual SIM Tela 6.74"" - Preto","934,15"
Smartphone Vovófone 32Gb 4G Icones Grandes Zap Face Insta - Tcl,"649,00"
Celular Smartphone Blade cz escuro A3 32GB ZTE,"506,59"
"Smartphone 14C 128GB - 4GB RAM - Dual Sim 6.88""  Sage Green (Verde)","806,65"
Smartphone Cubot A20 Android 1.4 4 GB de RAM 128 GB ROM Câmera de 48 M,"877,00"
